"Key";"Source";"Translation";"Context"
"item.fossil.amber";"";"Bernstein";""
"item.fossil.ancient_clock";"";"Antike Uhr2";""
"item.fossil.ancient_key";;"Antiker Schlüssel";""
"item.fossil.ancient_helmet";;"Antiker Helm2";""
"item.fossil.ancient_sword";"Ancient Sword";"Antikes Schwert";""
"item.fossil.artificial_honeycomb";"Artificial Honeycomb";"Künstliche Honigwabe";""
"item.fossil.artificial_honeycomb.desc";"Spawns a baby bee when used on a beehive";"Erschafft ein Bienenbaby, wenn bei Nutzung auf einem Bienenstock";""
"item.fossil.berry_crataegus";"Crataegus Berries";"Weißdornenbeeren";""
"item.fossil.berry_ephedra";"Ephedra Berries";"Meerträubelbeeren";""
"item.fossil.berry_vaccinium";"Vaccinium Berries";"Heidelbeeren";""
"item.fossil.bio_goo";"Bio Goo";"Bio-Schleim";""
"item.fossil.bone_helmet";"Bone Helmet";"Knochenhelm";""
"item.fossil.bone_chestplate";"Bone Chestplate";"Knochenharnisch";""
"item.fossil.bone_leggings";"Bone Leggings";"Knochenbeinschutz";""
"item.fossil.bone_boots";"Bone Boots";"Knochenstiefel";""
"item.fossil.bone_arm";"%s Arm Bone";"%s Armknochen";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_foot";"%s Foot";"%s Fuß";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_leg";"%s Leg Bone";"%s Beinknochen";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_ribcage";"%s Ribcage";"%s Brustkorb";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_skull";"%s Skull";"%s Schädel";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_tail";"%s Tail Bone";"%s Schwanzknochen";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_vertebrae";"%s Vertebrae";"%s Wirbelknochen";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bone_unique_allosaurus";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.allosaurus"
"item.fossil.bone_unique_ankylosaurus";"%s Plates";"%s Platten";"Keep the variable %s. It will be replaced with the translation of entity.fossil.ankylosaurus"
"item.fossil.bone_unique_brachiosaurus";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.brachiosaurus"
"item.fossil.bone_unique_ceratosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.ceratosaurus"
"item.fossil.bone_unique_citipati";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.citipati"
"item.fossil.bone_unique_compsognathus";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.compsognathus"
"item.fossil.bone_unique_confuciusornis";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.confuciusornis"
"item.fossil.bone_unique_crassigyrinus";"%s Fin";"%s Finne";"Keep the variable %s. It will be replaced with the translation of entity.fossil.crassigyrinus"
"item.fossil.bone_unique_deinonychus";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.deinonychus"
"item.fossil.bone_unique_dimetrodon";"%s Sail";"%s Segel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.dimetrodon"
"item.fossil.bone_unique_dimorphodon";"%s Finger";"%s Finger";"Keep the variable %s. It will be replaced with the translation of entity.fossil.dimorphodon"
"item.fossil.bone_unique_dilophosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.dilophosaurus"
"item.fossil.bone_unique_diplocaulus";"%s Fin";"%s Finne";"Keep the variable %s. It will be replaced with the translation of entity.fossil.diplocaulus"
