"Key";"Source";"Translation"
"alligator_gar";"Alligator gar, or Atractosteus spatula, is a species of fish with fossils tracing its existence to the early Cretaceous Period. These torpedo-shaped fish have not changed many of the morphological traits of their ancestors. Unlike many other fishes, it can breathe air, which allows them to populate areas dangerously low in oxygen for other water-breathers. Its scales form incredibly tough layers that are nearly impenetrable; when under attack, these scales defend well against any aggressors. Similar to the unrelated nautilus, alligator gars live long and mature late, and after which, they spawn an obscene amount of eggs depending on the size of the female. While they appear passive and sluggish, these little demons are actually voracious beasts when it comes to food, just like the animal they were named after. Gars are primarily piscivorous night predators, sometimes eating water fowls and small mammals at the surface. They lie in wait below the surface and wait for prey to come within reach, and then they lunge forward and grab their prey in a sweeping motion before impaling the poor sap with its teeth.";""
"allosaurus";"Allosaurus, the ""Different Lizard,"" provides a ""different"" example of a ferocious predator than that of the Tyrannosaurus. Contrasting with the T. rex, the Allosaurus measured only three meters tall, just under twice the height of a human. It was still quite long at a maximum of 9-10 meters. Its notable skull ridges had several functions, such as acting as sun-shades and display items. Curiously, many skull fossils found exhibit odd imperfections, providing valuable insight into the paleo pathology of dinosaurs and its possible effects on creatures. Living at the top of its food chain, the menacing claws and jaws of the Allosaurus made it quite the predator long before the time of the Tyrannosaurus. Abundantly found in the Morrison Formation, it survived by preying upon large herbivores and possibly even some predators. It prowled the semiarid environments of present day America and Portugal alongside other predators like Ceratosaurus and Torvosaurus, but the three likely held separate niches. Living from the Kimmeridgian to early Tithonian eras of the Jurassic, Allosaurus had a delectable selection of prey. Paleontologists have found evidence that it hunted Stegosaurus and other members of its family for food and likely scavenged sauropod carcasses.";""
"ankylosaurus";"Ankylosaurus, the ""Fused Lizard,"" is a dinosaur that all tanks could take some notes from. At about eight meters long and over one meter tall, the Ankylosaurus put every part of its hefty body to work in protecting itself. Its armor consisted of massive knobs and bony plates embedded in the skin called osteoderms. These osteoderms were light and sturdy, and they were highly resistant to penetrative objects like the teeth of predators. When it felt threatened, it employed its powerful tail club against other dinosaurs, oscillating its tail in a hundred-degree motion. The placement of the club at the end of the tail adds to its inertia, causing massive damage to opponents. The Ankylosaurus lived in North America during the late Cretaceous Period alongside fierce predators and competition. Its incredible defense mechanisms protected it against massive carnivores like Tyrannosaurus. Ankylosaurus occupied a similar niche to herbivores like Triceratops, its wide mouth allowing it to feed on a variety of low vegetation in its subtropical floodplain environment. As the largest known ankylosaurid, the amount of food that passed through its large digestive system would have been immense. This hungry herbivore would not have stripped the region bare, though, because it likely lived solitary as an adult.";""
"aquilolamna";"Aquilolamna (Ah-quill-oh-lamb-nah), also called the �eagle shark,� was a cartilaginous fish that lived during the Late Cretaceous period. While unrelated to manta rays, this fish sports giant pectoral fins and a torpedo-shaped body. It was probably a filter feeder, sifting plankton from the seawater with its large mouth like modern basking and whale sharks. Its similarities to manta rays are the result of convergent evolution, where two lineages evolve similar body features to exploit similar resources in their environment. Unlike mantas, however, Aquilolamna likely glided through the water using its tail for propulsion rather than relying on flapping its pectoral fins. What exactly Aquilolamna is remains a bit of a mystery. Currently, one of the best ways to determine cartilaginous fish relationships is by looking at their teeth, but the only known fossil of Aquilolamna lacks these. Whether the teeth are yet to be found, or Aquilolamna lacked teeth altogether, is still unknown. Perhaps the taxonomic placement of this strange fish will be discovered in your lifetime! Aquilolamna is known from the Agua Nueva Formation in Mexico, which preserves a variety of marine animals from the Late Cretaceous. Data from this formation tells us Aquilolamna lived alongside polycotylid plesiosaurs, mosasaurs, ammonites, plenty of small fish, and the crushing-mouthed shark Ptychodus.";""
"arthropleura";"Arthropleura, the ""Jointed Ribs,"" is an iconic Carboniferous arthropod that was popularized by the TV series 'Prehistoric Park.' This giant millipede could grow to over two meters long, taking it out of the ""creepy crawly"" range and upgrading it to ""arthropod overlord."" Although intimidating in size, this gentle giant was either an herbivore (an animal that eats plants) or a detritivore (an animal that eats dead organisms). Scientists know this because if Arthropleura was a carnivore, it would have hard mouth parts that would fossilize, but no mouth fossils have been found. Even though it didn't prey on other animals, Arthropleura wasn't defenseless; in addition to its tough exoskeleton, it may have secreted toxins just like its modern day relatives! Arthropleura thrived during the Carboniferous Period of North America and Scotland, scuttling along the floor of the lush rainforests that the period is known for. Arthropods were the dominant life forms in these forests, allowing animals like Arthropleura and Meganeura to grow to colossal sizes. Plants also reached new heights; the horsetail Calamites and the scale tree Lepidodendron each grew 30 meters tall! However, at the end of the Carboniferous all of these huge organisms perished as the life sustaining rainforests collapsed.";""
"brachiosaurus";"Brachiosaurus, the ""Arm Lizard,"" is recognized as a marvel of the prehistoric world because of the amazing heights these mysterious dinosaurs reached during their long reign on Earth. With a maximum height of 12 meters and length of almost 20 meters, the Brachiosaurus loomed over other dinosaurs of its time. Like most sauropods, its size acted as a safeguard against the appetites of contemporary predators like Allosaurus; only young, old, and sick Brachiosaurus were susceptible to attack. Unlike many other sauropods, the neck of Brachiosaurus was straight and upward-facing due to the incline of its back. This gave it its height, which allowed it to browse the highest foliage, something other herbivores couldn't take advantage of. As a rare Jurassic sauropod in North America's Morrison Formation, Brachiosaurus enjoyed existence along with other sauropods, such as Diplodocus and Camarasaurus, and other famous creatures like the Stegosaurus. It roamed across North America in semiarid environments with plenty of vegetation to sustain its massive body. For a time, Brachiosaurus was considered the largest of the dinosaurs, but Argentinosaurus took the title away from the beloved Brachiosaurus.";""
"ceratosaurus";"Ceratosaurus, the ""Horned Lizard,"" was not a creature of size, as shown by its length of about six meters and height of two meters, but it compensated its size with ferocity. Unlike other theropods, Ceratosaurus possessed an abnormally large skull in proportion to its body. Its nasal horn and brow crests likely functioned as mechanisms to attract mates, and it probably dueled with competing males over a female. For protection, Ceratosaurus featured a row of small osteoderms on its back, acting as dermal armor. Since its discovery during the famous Bone Wars of Edward Drinker Cope and Othniel Charles Marsh, a wide range of Ceratosaurus growth stages have been discovered, cementing it as one of the dinosaurs with a more complete fossilized record of its life stages. Roaming the lands of North America and present day Portugal from the Kimmeridgian to the Tithonian eras of the Late Jurassic Period, the Ceratosaurus hunted around waterways and in underbrush, feeding on small herbivores like Dryosaurus. This hunting pattern represents a different niche than those occupied by larger contemporary carnivores like Torvosaurus (which hunted bigger prey in the same wet and forested areas) and Allosaurus (which also hunted big prey but in drier and more open areas).";""
"citipati";"Citipati, the ""Funeral Pyre Lord,"" is often mistaken for its popular relative, Oviraptor. However, Oviraptor is actually known from comparatively poorer remains than the well-preserved Citipati. At 3 meters long, Citipati was a large oviraptorid with an iconic crest. Despite the popularity of the old hypothesis that oviraptorids were literal ""egg thieves,"" we now know that these dinosaurs were attentive parents to their nests. Several spectacular fossils of Citipati, fossilized while brooding over its eggs with its arms fanned out over them, were integral to dispelling this myth. Their nests were circle-shaped with gaps in the middle, where the parent could sit with its wings spread over its progenies. Strutting through the Cretaceous Period of what is now Mongolia, this bird-like beast lived in an arid desert habitat alongside famous dinosaurs like Protoceratops, Shuvuuia, and Pinacosaurus. One could expect a larger theropod like Citipati to be a carnivore, preying on the smaller dinosaurs around it. However, its toothless beak would have made it a poor predator. It was likely an omnivore, snacking on small animals, plants, and ironically, even eggs. One possible prey item was juvenile Byronosaurus, which have been found fossilized in Citipati nests. If not there as a meal, these juveniles could also have been nest parasites!";""
"coelacanth";"Coelacanth, the ""Hollow Spine,"" is a rare fish that has roamed the oceans for hundreds of millions of years since the Devonian Period. With a length of two meters, the coelacanth compares in size to other fishes that lived during its long existence. In the over four hundred million years since the Devonian Period, the coelacanth has changed its form little. For a hundred years, science believed it to be extinct before its rediscovery. Upon rediscovery in 1938, the coelacanth cemented itself as a living fossil. Living along African coasts and in Indonesian waters, its food and temperature needs restrict it to these areas. It feeds in underwater caves and crevices ay night, but During the day, it rests and saves vital energy for feeding time. The coelacanth's existence is threatened by deep-sea trawling, despite the lack of commercial value for the fish (apart from museums and private collectors). Only two species of coelacanth remain alive today, both threatened, making them some of the most endangered animals on Earth. Many governments around the world allocate money to the conservation of the coelacanth population, of which no more than a few hundred is estimated; without this important effort, the animal that braved more than four hundred million years may join the past with extinction.";""
"compsognathus";"Compsognathus, the ""Elegant Jaw,"" may be an adorably small creature, but it is truly an opportunistic carnivore with a bad attitude. With a length of a meter and height of half a meter, some members of the species managed to grow to the size of turkies, but not much larger. Commonly called a ""compy,"" several fossil finds of this creature are nearly complete and very well-preserved; due to the remarkable integrity of the remains, even the contents of some Compsognathus' bellies have been fossilized. This gives paleontologists a clear idea of its diet, which is not very common amongst dinosaurs due to the precarious nature of the fossil record. During the Late Jurassic, the Compsognathus lived in the tropical achipelago that is now Europe. Fossil evidence (or lack thereof) hints that Compsognathus may have been the only terrestrial dinosaur on the European archipelago, living with small flying creatures like Archaeopteryx and Rhamphorhynchus, which occupied very different niches from its own, leaving it to be the top land predator in the region. It preyed on small vertebrates such as lizards, which were found fossilized in its belly. Its small frame and and long tail and limbs permitted swift movement, which allowed it to outrun and outmaneuver other small creatures that would be its prey.";""
